x,y,z,leftCentralRightRadiiAverage,rightsideRadii,centralRadiiAverageOf1Radii,centralRadiiAverageOf2Radii,centralRadiiAverageOf3Radii,centralRadiiAverageOf4Radii,centralRadiiAverageOf5Radii,centralRadiiAverageOf6Radii
608757.693,5.75936435e6,0.0,39476.0,17716.64547928565,Inf,Inf,39931.0,32743.0,27723.0,24130.0
608799.761,5.759541361e6,0.0,29318.0,1386.8247491498016,17717.0,12245.0,9729.0,8333.0,7482.0,6822.0
608832.128,5.759683377e6,0.0,6810.0,1326.4372899017524,1387.0,1725.0,1853.0,1926.0,1988.0,2068.0
608842.79,5.759756431e6,0.0,1277.0,1116.3456646252105,1326.0,1308.0,1401.0,1467.0,1523.0,1593.0
608850.58,5.759852848e6,0.0,1210.0,1187.137381501584,1116.0,1145.0,1170.0,1229.0,1285.0,1336.0
608850.041,5.75994862e6,0.0,1175.0,1221.7697535065217,1187.0,1183.0,1186.0,1193.0,1225.0,1260.0
608841.632,5.760045222e6,0.0,1207.0,1210.7069099014648,1222.0,1216.0,1209.0,1205.0,1207.0,1226.0
608820.848,5.760162561e6,0.0,1191.0,1141.5884870430793,1211.0,1210.0,1204.0,1202.0,1200.0,1201.0
608797.726,5.760248961e6,0.0,1134.0,1051.090033210487,1142.0,1145.0,1160.0,1168.0,1172.0,0.0
608791.113,5.760269594e6,0.0,1551.0,2460.711792480874,1051.0,1108.0,1133.0,1148.0,0.0,0.0
608771.777,5.760322982e6,0.0,1445.0,824.1512107126034,2461.0,1905.0,1678.0,0.0,0.0,0.0
608764.71,5.760341584e6,0.0,1501.0,1218.589561905397,824.0,1013.0,0.0,0.0,0.0,0.0
608747.232,5.760382668e6,0.0,0.0,0.0,1219.0,0.0,0.0,0.0,0.0,0.0
608729.287,5.760420993e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
