ID,x,y,z,leftCentralRightRadiiAverage,centralRadiiAverageOf1Radii,centralRadiiAverageOf2Radii,centralRadiiAverageOf3Radii
0,607379.0300005017,5.757221327048521e6,0.0,Inf,Inf,Inf,Inf
0,607381.1695459768,5.757222852817763e6,0.0,Inf,377.0,456.0,480.0
0,607429.16487842,5.757251733429642e6,0.0,472.0,364.0,387.0,402.0
0,607458.4159052228,5.75726482374503e6,0.0,438.0,674.0,545.0,507.0
0,607484.8913347753,5.757275273232952e6,0.0,630.0,277.0,345.0,381.0
0,607514.4409368885,5.757283419080065e6,0.0,720.0,938.0,772.0,713.0
0,607543.6156098543,5.757290455528566e6,0.0,856.0,945.0,897.0,817.0
0,607577.0489686087,5.757297327905323e6,0.0,675.0,684.0,671.0,658.0
0,607615.9900972936,5.757303173082026e6,0.0,508.0,396.0,429.0,450.0
0,607633.9506268065,5.757304550080679e6,0.0,393.0,443.0,425.0,414.0
0,607663.9290435024,5.757305218016556e6,0.0,319.0,340.0,313.0,303.0
0,607677.469945804,5.757304652992931e6,0.0,233.0,175.0,194.0,204.0
0,607698.3285542717,5.757301697745293e6,0.0,181.0,185.0,184.0,189.0
0,607722.2260879785,5.75729521426318e6,0.0,193.0,184.0,186.0,197.0
0,607736.6468753706,5.757289550232338e6,0.0,391.0,210.0,237.0,246.0
0,607748.9405026392,5.757283706867499e6,0.0,434.0,779.0,583.0,500.0
0,607773.677582867,5.757271133346502e6,0.0,656.0,315.0,358.0,380.0
0,607802.2632495651,5.7572528794888845e6,0.0,897.0,875.0,742.0,715.0
0,607817.8430320894,5.757242256066786e6,0.0,1071.0,1501.0,1240.0,1119.0
0,607831.5931836225,5.7572326390971625e6,0.0,1839.0,838.0,1076.0,1211.0
0,607871.0257279256,5.757202669911766e6,0.0,Inf,3177.0,19133.0,13929.0
0,607891.0696007444,5.757187803765388e6,0.0,Inf,Inf,Inf,Inf
0,607911.8821672804,5.757172364593327e6,0.0,Inf,667.0,865.0,1038.0
0,607963.0269156366,5.757139355570184e6,0.0,1737.0,2187.0,1925.0,1781.0
0,608007.4234508825,5.757112298484858e6,0.0,1743.0,2358.0,2033.0,1809.0
0,608041.8524738308,5.757092225091404e6,0.0,1300.0,685.0,825.0,898.0
0,608064.7554097165,5.757080303146374e6,0.0,706.0,856.0,785.0,788.0
0,608092.6185103799,5.757066953123259e6,0.0,682.0,578.0,604.0,662.0
0,608122.5367545706,5.75705458232259e6,0.0,1360.0,611.0,745.0,851.0
0,608155.8219898514,5.757042929880274e6,0.0,Inf,2890.0,2490.0,2215.0
0,608217.9470042633,5.757022388883357e6,0.0,Inf,Inf,Inf,Inf
0,608266.0366381647,5.757006495871088e6,0.0,Inf,10122.0,14989.0,15874.0
0,608286.1987234076,5.756999911851942e6,0.0,19749.0,48043.0,25869.0,19049.0
0,608297.1382505158,5.756996343622018e6,0.0,18545.0,1081.0,1538.0,2135.0
0,608337.8197224366,5.756981926368032e6,0.0,6429.0,6511.0,5428.0,4033.0
0,608370.5458838692,5.756970107434407e6,0.0,6151.0,11694.0,6235.0,4425.0
0,608383.7465569022,5.756965308874756e6,0.0,4426.0,248.0,374.0,512.0
0,608418.9910386403,5.756948015026577e6,0.0,1385.0,1335.0,1197.0,1360.0
0,608448.4485670167,5.756932554113688e6,0.0,Inf,2572.0,3615.0,3971.0
0,608494.8268582226,5.756907213166314e6,0.0,Inf,Inf,Inf,Inf
0,608644.9461262474,5.756825089470343e6,0.0,Inf,Inf,Inf,Inf
0,608794.1727859778,5.756743462507643e6,0.0,Inf,Inf,Inf,40803.0
0,608842.1577155788,5.756717124871943e6,0.0,27281.0,3385.0,3189.0,3072.0
0,608888.3201832937,5.756692728490724e6,0.0,1407.0,428.0,508.0,640.0
0,608917.4977442801,5.756680791229317e6,0.0,372.0,409.0,391.0,403.0
0,608948.3495954543,5.756670904510059e6,0.0,312.0,281.0,289.0,304.0
0,608985.1456997808,5.756663995936765e6,0.0,20108.0,248.0,272.0,284.0
0,609008.5539073527,5.756662525805772e6,0.0,20082.0,Inf,30075.0,20152.0
0,609022.4128577416,5.756661659751314e6,0.0,20092.0,204.0,251.0,263.0
0,609051.0224346956,5.75666286234078e6,0.0,240.0,277.0,266.0,268.0
0,609100.7956895897,5.756672193063436e6,0.0,263.0,238.0,245.0,254.0
0,609134.5787193397,5.7566852140863305e6,0.0,377.0,274.0,286.0,294.0
0,609164.2935744163,5.756701284169393e6,0.0,410.0,618.0,507.0,447.0
0,609195.9331731042,5.756720823432577e6,0.0,400.0,340.0,336.0,335.0
0,609237.4175039,5.756754853292328e6,0.0,339.0,244.0,268.0,288.0
0,609268.0711545217,5.756793364390851e6,0.0,422.0,435.0,402.0,383.0
0,609293.3185068321,5.756833537727914e6,0.0,393.0,587.0,509.0,451.0
0,609309.7451156218,5.756864261079345e6,0.0,328.0,156.0,201.0,236.0
0,609313.9009651453,5.75687605702062e6,0.0,527.0,241.0,243.0,266.0
0,609321.2746502646,5.756904813344356e6,0.0,590.0,1185.0,829.0,674.0
0,609327.1979433243,5.756930411418229e6,0.0,658.0,344.0,387.0,401.0
0,609333.249520868,5.756987544775845e6,0.0,428.0,445.0,439.0,445.0
0,609331.8109272724,5.757045771605806e6,0.0,512.0,494.0,493.0,491.0
0,609327.7827177397,5.757079697176434e6,0.0,566.0,596.0,576.0,560.0
0,609322.6005707349,5.757109491836795e6,0.0,581.0,606.0,596.0,575.0
0,609314.5724955762,5.757144309065667e6,0.0,501.0,541.0,515.0,508.0
0,609305.5048635197,5.757174797620028e6,0.0,442.0,357.0,383.0,407.0
0,609293.3005996052,5.757205373371215e6,0.0,Inf,428.0,445.0,496.0
0,609283.9757811342,5.75722499688201e6,0.0,Inf,Inf,Inf,Inf
0,609278.1460261906,5.757237264327614e6,0.0,Inf,1972.0,1421.0,1183.0
0,609255.2546588051,5.757283450631817e6,0.0,918.0,368.0,390.0,412.0
0,609231.7709612425,5.757318697873934e6,0.0,388.0,415.0,402.0,407.0
0,609221.4288044956,5.757332046169914e6,0.0,436.0,380.0,402.0,402.0
0,609201.6401806028,5.757354567706268e6,0.0,413.0,514.0,466.0,450.0
0,609175.3076337071,5.757380851760751e6,0.0,8043.0,346.0,368.0,396.0
0,609134.5096089831,5.757412272029513e6,0.0,7995.0,23269.0,11915.0,8240.0
0,609131.3421442658,5.757414717449775e6,0.0,8587.0,368.0,780.0,897.0
0,609077.3533473879,5.757448954440603e6,0.0,14815.0,2123.0,2297.0,2230.0
0,608881.8103551194,5.757555187441131e6,0.0,17693.0,41953.0,31810.0,28336.0
0,608824.1570327121,5.757586765883732e6,0.0,Inf,9001.0,15155.0,23423.0
0,608785.2953355021,5.757608361872479e6,0.0,Inf,Inf,Inf,Inf
0,608752.1815704311,5.757626756420921e6,0.0,Inf,2130.0,7563.0,14659.0
0,608737.0741709925,5.757634894919879e6,0.0,2723.0,2007.0,32826.0,25200.0
0,608709.158983112,5.757650376461893e6,0.0,2497.0,4033.0,4095.0,3752.0
0,608678.7463379323,5.757666916486741e6,0.0,1969.0,1451.0,1438.0,1444.0
0,608624.7765987056,5.757698655136854e6,0.0,13633.0,424.0,496.0,530.0
0,608609.3906569463,5.757709825472782e6,0.0,13217.0,39023.0,19721.0,13288.0
0,608604.0898105599,5.757713671285569e6,0.0,13160.0,205.0,251.0,298.0
0,608584.6408608684,5.757730249861283e6,0.0,1982.0,251.0,312.0,355.0
0,608566.0133516869,5.757749839367337e6,0.0,2083.0,5488.0,3060.0,2217.0
0,608543.5534785676,5.757773718387643e6,0.0,2117.0,509.0,524.0,505.0
0,608506.8322016156,5.757820642215972e6,0.0,383.0,355.0,357.0,371.0
0,608488.5350734375,5.757851955305052e6,0.0,400.0,284.0,316.0,332.0
0,608475.6303813953,5.757881850060646e6,0.0,387.0,562.0,472.0,439.0
0,608462.5846219193,5.757918250750057e6,0.0,439.0,316.0,346.0,358.0
0,608452.7575426528,5.757965024406855e6,0.0,26055.0,441.0,430.0,423.0
0,608448.3430376659,5.758006908649675e6,0.0,26025.0,Inf,38923.0,26089.0
0,608447.4522109593,5.758015334283072e6,0.0,26041.0,227.0,318.0,363.0
0,608449.3311908807,5.758070005880815e6,0.0,447.0,487.0,493.0,526.0
0,608457.003187037,5.758122511176635e6,0.0,1644.0,628.0,720.0,770.0
0,608472.1210054862,5.758184724619378e6,0.0,1883.0,3817.0,3098.0,2850.0
0,608485.05155689,5.758241928241829e6,0.0,2771.0,1205.0,7115.0,7545.0
0,608498.8935724928,5.758292275561226e6,0.0,Inf,3291.0,15889.0,25579.0
0,608536.7995613196,5.758450104212384e6,0.0,Inf,Inf,Inf,Inf
0,608582.9968335454,5.758642460858909e6,0.0,Inf,Inf,Inf,Inf
0,608588.4485923453,5.7586651438176045e6,0.0,Inf,9151.0,14628.0,Inf
0,608631.3985573545,5.758835656034485e6,0.0,Inf,Inf,Inf,Inf
0,608642.722153483,5.758880619567293e6,0.0,Inf,3772.0,5924.0,10129.0
0,608677.4851461564,5.759036523277488e6,0.0,Inf,Inf,Inf,Inf
0,608690.4958273326,5.759094864316388e6,0.0,Inf,3607.0,6395.0,8949.0
0,608723.1039268331,5.759224596631039e6,0.0,Inf,Inf,Inf,Inf
0,608757.0946965839,5.759359855837583e6,0.0,Inf,24075.0,38714.0,33444.0
0,608771.4983872743,5.7594181941342205e6,0.0,Inf,Inf,Inf,Inf
0,608798.8015848284,5.759528796450608e6,0.0,Inf,2349.0,3152.0,3683.0
0,608815.2510669491,5.759609877544788e6,0.0,Inf,Inf,Inf,Inf
0,608830.0556477687,5.759682856165549e6,0.0,Inf,1895.0,2052.0,2154.0
0,608843.5274736247,5.759767466381925e6,0.0,Inf,934.0,1160.0,1267.0
0,608847.2243709427,5.759808436854766e6,0.0,Inf,Inf,Inf,Inf
0,608850.9327423192,5.759849507723929e6,0.0,Inf,708.0,881.0,954.0
0,608851.3713123035,5.7599277366163e6,0.0,995.0,1431.0,1284.0,1272.0
0,608848.3955648597,5.759993963479979e6,0.0,Inf,845.0,1128.0,1121.0
0,608847.1633434049,5.760007310682882e6,0.0,Inf,Inf,Inf,Inf
0,608842.3768634187,5.7600592116501e6,0.0,Inf,554.0,697.0,804.0
0,608834.3728342919,5.760103331824822e6,0.0,1532.0,1892.0,1534.0,1442.0
0,608820.7175808888,5.760167801627135e6,0.0,46495.0,2149.0,2238.0,1944.0
0,608812.3184557292,5.760203267925138e6,0.0,46032.0,Inf,Inf,46020.0
0,608807.8999127604,5.760221908680622e6,0.0,45574.0,501.0,644.0,778.0
0,608795.3621201165,5.760263181869805e6,0.0,964.0,777.0,839.0,873.0
0,608775.2042033,5.760316806399315e6,0.0,1147.0,1613.0,1433.0,1360.0
0,608747.7483030288,5.760381888119993e6,0.0,35100.0,1050.0,1319.0,1299.0
0,608743.23054876,5.760391536546252e6,0.0,34855.0,Inf,Inf,35065.0
0,608726.2327507354,5.7604278615974225e6,0.0,34920.0,878.0,963.0,1019.0
0,608687.9728520798,5.760496980934609e6,0.0,857.0,1247.0,1176.0,1126.0
0,608645.8044576354,5.760562966821526e6,0.0,Inf,447.0,645.0,810.0
0,608642.7442978664,5.760566894645843e6,0.0,Inf,Inf,Inf,Inf
0,608613.040667407,5.7606050131098e6,0.0,Inf,17208.0,11436.0,8715.0
0,608567.0310533255,5.760664496054434e6,0.0,8534.0,1741.0,4643.0,7277.0
0,608518.6244549283,5.760721791001365e6,0.0,Inf,6653.0,Inf,Inf
0,608391.4497970095,5.760878838056308e6,0.0,Inf,Inf,Inf,Inf
0,608266.1607065644,5.761033559063857e6,0.0,Inf,Inf,Inf,Inf
0,608139.6157743288,5.761189846862854e6,0.0,Inf,Inf,Inf,Inf
0,608015.6195233171,5.761342988362381e6,0.0,Inf,Inf,Inf,Inf
0,607902.2376827039,5.761483021539941e6,0.0,Inf,2690.0,5306.0,7946.0
0,607888.5094795938,5.761501350476769e6,0.0,Inf,Inf,Inf,Inf
0,607768.9695695715,5.761660980560163e6,0.0,Inf,Inf,Inf,Inf
0,607648.8150011539,5.761821434507785e6,0.0,Inf,Inf,Inf,Inf
0,607631.9558266734,5.761843946865141e6,0.0,Inf,12908.0,23981.0,35209.0
0,607581.3149468815,5.761910959943502e6,0.0,Inf,33520.0,39425.0,45479.0
0,607497.133843198,5.76202158977794e6,0.0,Inf,Inf,Inf,Inf
0,607407.6344361042,5.762139216243797e6,0.0,Inf,Inf,Inf,Inf
0,607316.4786640293,5.762259011602111e6,0.0,Inf,Inf,Inf,Inf
0,607195.0312401098,5.762418635592775e6,0.0,Inf,Inf,Inf,Inf
0,607161.0684873235,5.762463268514308e6,0.0,Inf,41569.0,Inf,Inf
0,607072.9715035077,5.762579628847795e6,0.0,Inf,Inf,Inf,Inf
0,606932.540437814,5.7627651319880495e6,0.0,Inf,Inf,Inf,Inf
0,606894.8321082507,5.762814937971777e6,0.0,Inf,Inf,Inf,Inf
0,606574.9818955316,5.76323304543542e6,0.0,Inf,Inf,Inf,Inf
0,606558.8883108324,5.763254231200866e6,0.0,Inf,Inf,Inf,Inf
0,606549.0048234706,5.763267238239951e6,0.0,Inf,1680.0,2605.0,6160.0
0,606529.0573524939,5.763294316651234e6,0.0,Inf,Inf,Inf,Inf
0,606512.801270304,5.763316378068486e6,0.0,Inf,1031.0,1472.0,1511.0
0,606499.3664011606,5.763335584652443e6,0.0,Inf,Inf,Inf,Inf
0,606493.9060958079,5.763343390067247e6,0.0,Inf,805.0,983.0,1072.0
0,606465.7353048625,5.763387127384923e6,0.0,44728.0,1285.0,1364.0,1380.0
0,606446.4017984293,5.763419582122405e6,0.0,44773.0,Inf,Inf,45046.0
0,606436.7527673859,5.763435787642041e6,0.0,44753.0,940.0,1133.0,1209.0
0,606408.3101028627,5.763488453940962e6,0.0,1170.0,1225.0,1219.0,1241.0
0,606381.654491656,5.7635442738867905e6,0.0,1276.0,1344.0,1319.0,1325.0
0,606365.1136811415,5.7635826520750625e6,0.0,46979.0,1257.0,1411.0,1400.0
0,606358.778391832,5.763598349823919e6,0.0,46836.0,Inf,Inf,47134.0
0,606349.7324051087,5.763620754622829e6,0.0,47445.0,916.0,1184.0,1263.0
0,606332.8152083552,5.76366811499738e6,0.0,1636.0,3083.0,2292.0,1991.0
0,606316.6900719128,5.763715692580295e6,0.0,1581.0,909.0,1004.0,1077.0
0,606301.9180477314,5.76376937405195e6,0.0,25082.0,750.0,961.0,1059.0
0,606297.1058874433,5.763791257221401e6,0.0,25127.0,Inf,37614.0,25518.0
0,606284.3688526022,5.763849332524e6,0.0,25257.0,1043.0,1162.0,1240.0
0,606280.1563739076,5.763873042087237e6,0.0,1515.0,1141.0,1241.0,1295.0
0,606276.4268705891,5.763896962220194e6,0.0,1501.0,2361.0,1969.0,1793.0
0,606268.3557136604,5.763955493030102e6,0.0,Inf,1002.0,1218.0,1259.0
0,606265.4229898736,5.763987452270461e6,0.0,Inf,Inf,Inf,Inf
0,606262.6678141389,5.764017523810837e6,0.0,Inf,770.0,1040.0,1130.0
0,606260.6899454619,5.764070398749447e6,0.0,1300.0,2046.0,1732.0,1648.0
0,606260.2110846357,5.764143778180749e6,0.0,29568.0,1084.0,1252.0,1280.0
0,606262.2556545361,5.764187003250174e6,0.0,29109.0,Inf,43505.0,29478.0
0,606263.2092371964,5.7642070065599745e6,0.0,29234.0,670.0,972.0,1082.0
0,606266.1370798955,5.764240347973712e6,0.0,1228.0,1459.0,1359.0,1368.0
0,606271.1854224772,5.764284349155969e6,0.0,1476.0,1556.0,1526.0,1452.0
0,606276.1821561507,5.764319815308528e6,0.0,1265.0,1411.0,1343.0,1342.0
0,606282.7993770774,5.764359121234351e6,0.0,3053.0,827.0,985.0,1078.0
0,606288.5912233137,5.764386582227194e6,0.0,2957.0,6920.0,4191.0,3278.0
0,606293.4308921623,5.764409116194166e6,0.0,3546.0,1125.0,1437.0,1504.0
0,606301.042337076,5.764440732760749e6,0.0,1872.0,2592.0,2251.0,2148.0
0,606308.4254726373,5.764469852163938e6,0.0,2115.0,1898.0,1942.0,2217.0
0,606328.5647963604,5.764541034324256e6,0.0,2048.0,1855.0,3488.0,6600.0
0,606340.6226390507,5.764579143470086e6,0.0,3386.0,2390.0,6147.0,12981.0
0,606362.8553936874,5.764656078304533e6,0.0,6658.0,5915.0,6462.0,9626.0
0,606398.1101238811,5.76478697604918e6,0.0,Inf,11670.0,Inf,Inf
0,606417.7804013535,5.764857492227319e6,0.0,Inf,Inf,Inf,Inf
0,606447.6896938538,5.764964710621839e6,0.0,Inf,Inf,Inf,Inf
0,606501.3705733377,5.765157186973261e6,0.0,Inf,Inf,Inf,Inf
0,606517.6588330334,5.765215592646816e6,0.0,Inf,2514.0,10902.0,17845.0
0,606531.0809648925,5.765260040236007e6,0.0,Inf,4204.0,16193.0,Inf
0,606556.2366648783,5.765348587923634e6,0.0,Inf,Inf,Inf,Inf
0,606570.0043845656,5.765397059680771e6,0.0,Inf,Inf,Inf,Inf
0,606606.5323677857,5.765525638969276e6,0.0,Inf,41915.0,Inf,Inf
0,606611.9292893012,5.765544769476395e6,0.0,Inf,Inf,Inf,Inf
0,606663.7672329653,5.76572844113605e6,0.0,Inf,Inf,Inf,Inf
0,606720.366040322,5.765928983025172e6,0.0,Inf,Inf,Inf,Inf
0,606750.9949170572,5.766037509951738e6,0.0,Inf,Inf,Inf,Inf
0,606775.0146434868,5.766122630097362e6,0.0,Inf,Inf,Inf,Inf
0,606829.2433004022,5.7663148447867e6,0.0,Inf,Inf,Inf,Inf
0,606883.3529951588,5.76650663491364e6,0.0,Inf,Inf,Inf,Inf
0,606937.6942282745,5.76669925416149e6,0.0,Inf,Inf,Inf,Inf
0,606972.8202243153,5.766823779188279e6,0.0,Inf,20490.0,36562.0,43717.0
0,606980.0514747142,5.766849046930741e6,0.0,Inf,3066.0,9005.0,26122.0
0,606992.3418684213,5.766894005947961e6,0.0,Inf,Inf,Inf,Inf
0,607007.4186641299,5.7669491388323475e6,0.0,Inf,17601.0,28317.0,Inf
0,607046.1571805472,5.767087683643367e6,0.0,Inf,Inf,Inf,Inf
0,607099.7368871658,5.767279343163615e6,0.0,Inf,Inf,Inf,Inf
0,607153.5034434865,5.767471675073342e6,0.0,Inf,Inf,Inf,Inf
0,607207.514205121,5.767664880892699e6,0.0,Inf,Inf,Inf,Inf
0,607261.7502156923,5.76785888233862e6,0.0,Inf,Inf,Inf,Inf
0,607285.7805854463,5.7679448516532695e6,0.0,Inf,Inf,Inf,Inf
0,607314.6767403644,5.768048817435302e6,0.0,Inf,Inf,Inf,Inf
0,607367.9453852135,5.768240496410633e6,0.0,Inf,Inf,Inf,Inf
0,607399.5877884049,5.768354346806569e6,0.0,Inf,2593.0,4253.0,5304.0
0,607405.5961058612,5.768378531987056e6,0.0,3225.0,4480.0,3781.0,4417.0
0,607417.2436690023,5.768427150328889e6,0.0,21306.0,2603.0,3839.0,9046.0
0,607418.591020261,5.768433054211255e6,0.0,20574.0,Inf,32242.0,24513.0
0,607432.3681199156,5.768493590572058e6,0.0,21407.0,2284.0,2402.0,3128.0
0,607462.7013845568,5.768606289498228e6,0.0,Inf,5102.0,5556.0,6087.0
0,607469.2797933632,5.768629452319029e6,0.0,Inf,Inf,Inf,Inf
0,607503.8857694159,5.768751289693211e6,0.0,Inf,Inf,Inf,Inf
0,607523.3426396728,5.768819626363122e6,0.0,Inf,Inf,Inf,Inf
0,607561.9802789898,5.768955348286517e6,0.0,Inf,10352.0,13355.0,14961.0
0,607578.7683074091,5.769012222856112e6,0.0,Inf,Inf,Inf,Inf
0,607591.2870425485,5.769054640830877e6,0.0,Inf,2177.0,3493.0,4695.0
